Population in severe multidimensional poverty (%),"Population, total (millions)",Expected years of schooling (years),"Human Development Index (HDI), male","Population, ages 65 and older (millions)","Population, urban (%)",Inequality-adjusted education index,"Maternal mortality ratio (deaths per 100,000 live births)","Foreign direct investment, net inflows (% of GDP)",Inequality-adjusted income index,Employment to population ratio (% ages 15 and older),"Population with at least some secondary education, male (% ages 25 and older)","Gross domestic product (GDP), total (2011 PPP $ billions)",Multidimensional poverty index (MPI),"Estimated gross national income per capita, male (2011 PPP$)",Life Expectancy Index,"Labour force participation rate, male (% ages 15 and older)",Gender Development Index (GDI),Inequality in life expectancy (%),Female share of paid employment in non-agriculture,Domestic credit provided by financial sector (% of GDP),Adult literacy rate (% ages 15 and older),Exports and Imports (% of GDP),Youth unemployment rate (% of labour force ages 15-24),HDI rank,Total unemployment rate (% of labour force),Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),"Mean years of schooling, male (years)",Life expectancy at birth (years),Overall loss in HDI due to inequality (%),Inequality-adjusted life expectancy index,"Population in multidimensional poverty, headcount (thousands)","Dependency ratio, young age (0-14) (per 100 people ages 15-64)","Human Development Index (HDI), female","Net migration rate (per 1,000 people)","Gross enrolment ratio, secondary (% of secondary school-age population)","Under-five mortality rate (per 1,000 live births)","Remittances, inflows (% of GDP)",Inequality-adjusted HDI (IHDI),"Estimated gross national income per capita, female (2011 PPP$)",Primary school teachers trained to teach (%),Inequality in education (%),"Infant mortality rate (per 1,000 live births)",Coefficient of human inequality,Gross domestic product (GDP) per capita (2011 PPP $),"Pupil-teacher ratio, primary school (number of pupils per teacher)",Sex ratio at birth (male to female births),Internet users (% of population),Education index,"Population with at least some secondary education, female (% ages 25 and older)","Youth unemployment rate, female to male ratio","Life expectancy at birth, male (years)","Gross enrolment ratio, pre-primary (% of preschool-age children)",Inequality in income (%),"Mean years of schooling, female (years)",Gross fixed capital formation (% of GDP),Share of seats in parliament (% held by women),"Population, ages 15–64 (millions)","Expected years of schooling, male (years)","Labour force participation rate, female (% ages 15 and older)",Forest area (% of total land area),Population with at least some secondary education (% ages 25 and older),"Adolescent birth rate (births per 1,000 women ages 15-19)",Mean years of schooling (years),name,Median age (years),"Gross enrolment ratio, primary (% of primary school-age population)","Total unemployment rate, female to male ratio",Mobile phone subscriptions (per 100 people),"Life expectancy at birth, female (years)","Population, under age 5 (millions)",Gender Inequality Index (GII),"Gross enrolment ratio, tertiary (% of tertiary school-age population)","Population in multidimensional poverty, headcount (%)","Population in multidimensional poverty, intensity of deprivation (%)","HIV prevalence, adult (% ages 15-49)",Private capital flows (% of GDP),Income index,Labour force participation rate (% ages 15 and older),Gross national income (GNI) per capita (2011 PPP$),Human Development Index (HDI),Population near multidimensional poverty (%),"Expected years of schooling, female (years)"
,43.416755,17.2605,0.827972381,4.744,91.751,0.742376698,52,2.05407,0.585816845,56.91389847,61.362,,,29362.62382,0.868569231,74.46802521,0.98188693,9.9799,,41.23056425,98.08516,22.9318,19.06531143,45,6.666788101,17.10501261,9.952851514,76.457,15.6417448,0.78188689,,39.44034709,0.812975259,0.142,,12.5,0.082842,0.697980634,12879.68218,,8.098,11.1,15.17146167,,,1.04,69.400921,0.807791667,63.506,1.131778396,72.643,,27.436485,9.74,15.60637949,37.08206687,27.734,16.11809,48.38635254,9.906858285,62.434,63.82,9.85,Argentina,30.84455859,,1.460032582,143.907797,80.21,3.718,,,,,0.4,-1.818264,0.807315971,60.97925949,20945.12105,0.82740051,,18.42937
,23.344179,10.415,0.555405102,0.748,54.381,0.321601158,596,2.12381,0.390820835,72.53781128,37.93,68.60331798,,3448.0909,0.5532,81.10916138,0.852717734,39.3993,,14.7637698,74.98557,42.8169,6.988675594,153,4.576217651,5.906542513,7.37,55.958,32.76399793,0.335243072,,78.35144669,0.473603781,-0.546,,87.9,0.835866,0.347977936,2340.445797,,34.76,57.1,32.42639333,2938.776214,,1.03,20.680148,0.492950886,31.66284157,1.196491211,54.79,,23.11988,4.589470588,20.98139347,27.14285714,12.668,11.25909,70.97561646,39.80453132,31.842,104.607,6.109359903,Cameroon,18.47686053,,1.420207168,71.845429,57.136,3.738,0.56791287,,,,4.5,,0.508350969,76.01650238,2894.277577,0.517547037,,9.56157
,18.10557,7.69281,0.429070558,0.434,29.859,0.160582601,371,1.50816,0.31294392,81.06499481,11.53894,28.27224433,,1800.487569,0.600107692,90.66156006,0.874336769,37.0808,,29.29511637,36.02263,68.705,4.678645134,185,2.910814762,4.599451915,2.048408038,59.007,33.60827642,0.377582959,,87.58026342,0.375152166,-1.482,,88.6,3.56576,0.266722179,1278.467379,,38.6481,60.9,33.30606,1561.521915,,1.05,11.387646,0.261740226,5.96421,0.830903542,57.643,,24.18928,1.005982164,31.1966221,9.448818898,9.422,8.08725,76.64202118,19.55409357,8.48835,108.528,1.441531766,Burkina Faso,17.03616523,,0.573897536,80.643033,60.284,3.144,0.61514177,,,,0.8,,0.412796397,83.49538422,1537.499309,0.401740104,,7.28759
,27.409893,11.50262,0.606232308,0.931,54.042,0.358466825,319,8.43094,0.376531091,72.14487457,68.512,108.357068,,4483.955284,0.638938462,78.51568604,0.898788269,30.7637,,35.05387529,76.57281,98.8297,12.20742702,139,6.264291763,5.873359602,7.86,61.531,32.47508038,0.44237735,,67.17078413,0.544874486,-0.387,71.03628,61.6,13.1587,0.390853704,3199.900673,54.69452,34.92485,42.8,32.45118333,3953.21018,31.25587,1.05,23.478128,0.550850556,51.84025232,1.122062012,60.521,120.78888,31.665,5.839025,23.61362371,10.90909091,15.841,11.66296,75.48295593,41.03454338,59.824,66.813,6.94,Ghana,20.5750721,109.9254,1.135573868,129.735997,62.511,4.056,0.546521363,,,,1.6,-10.22305,0.55100767,76.96626282,3838.670257,0.578828832,,11.06479
,31.540372,16.11227,0.883528665,0.903,83.13,,12,1.26022,,51.58954239,72.12939791,1585.975229,,75918.98848,0.8376,79.12565613,0.881586171,10.9785,15,20.76307066,94.65114,72.5278,30.97315788,38,5.795867443,4.175155231,10.02415,74.444,,0.745644084,,41.69167547,0.778906653,5.702,,14.5,0.045408,,19305.47996,,,12.5,,50283.97349,,1.03,69.616236,0.768480389,63.30599058,1.364912009,73.167,,,8.97941,28.79360101,19.86754967,21.623,16.96314,20.05906296,0.454484135,66.50885,8.82,9.62752,Saudi Arabia,28.32416491,,6.88848096,176.588813,75.886,3.161,0.25692991,,,,,1.137533,0.942688645,54.76356888,51320.11323,0.846601911,,15.27882
,126.573481,15.34048,0.914312172,33.343,93.498,0.674846664,5,-0.001016,0.773977903,57.31951141,90.63857314,4545.650484,,49822.28271,0.979753846,70.16257477,0.969590281,3.188,43.9,376.5708501,,36.7759,5.297682762,17,3.294842243,43.32390473,12.362,83.684,12.41763206,0.948519294,,21.14304204,0.886508196,0.551,,2.7,0.089013,0.791273483,25381.05864,,19.813,2,12.15366667,35804.2312,,1.06,93.329411,0.841591111,93.03507403,0.986959573,80.411,,13.46,12.564,21.68401771,11.57601116,76.96,15.46756,49.12168503,68.46061005,91.834,4.065,12.464,Japan,46.5121101,,0.890356063,125.053761,86.868,5.269,0.116220526,,,,,6.390065,0.894358566,59.27244186,37267.96407,0.90346208,,15.2073
,2.067526,17.3483,0.888102726,0.371,49.65,0.863358432,9,3.93113,0.757834858,52.11380005,98.28496,59.72929663,,31729.54221,0.931923077,62.95510101,1.002689938,3.6056,47.3,71.34825339,99.71596,146.303,16.70552063,25,9.344601631,26.71990495,12.24412,80.575,5.913327396,0.898321658,,21.98520807,0.890491667,0.42,,2.6,1.70495,0.837656303,25651.41508,,2.55129,2.1,5.830343333,28941.86586,,1.05,73.0987,0.885961889,96.46465,0.898634192,77.555,,11.33414,11.92551,19.37851554,27.69230769,1.391,16.67667,52.17923737,61.96623635,97.29032,3.777,12.12194,Slovenia,43.10416137,,1.254487619,113.219325,83.531,0.111,0.052753589,,,,,4.34452,0.854708743,57.48560333,28664.21147,0.890302824,,18.07139
,16.342897,10.7211,0.650821028,0.792,51.571,0.323971172,88,1.79875,0.423908986,59.78811264,36.235,118.5342142,,9080.678131,0.800953846,83.58695221,0.958555011,16.9792,38.6,42.80026592,79.3053,51.3334,6.199219704,125,2.73955965,8.28033528,6.346022293,72.062,29.58971547,0.664958291,,62.57033665,0.623847757,-1.545,,29.1,10.3261,0.450323349,5131.836178,,36.212,24.3,29.09216067,7252.949966,,1.05,27.1,0.507887334,37.38157,1.195336748,68.516,,34.085282,6.257946208,13.2372888,13.92405063,9.566,10.95009,41.2534523,33.03471445,36.79421,80.746,6.302370007,Guatemala,21.22452637,,1.260199757,111.481299,75.569,2.089,0.494012278,,,,0.6,-1.667703,0.643117348,61.47218323,7063.204406,0.639570415,,10.48715
,3.810416,14.17568,0.781340823,0.588,39.767,0.607374536,11,1.67098,0.556484109,32.15664673,87.45026,38.19393406,,13260.96549,0.871292308,58.02278137,0.92268502,6.6943,36.2,58.49352701,98.47681,,66.91931915,81,30.25665474,21.73430827,10.619,76.634,13.29803341,0.812965387,,18.99587237,0.720931472,-0.131,,5.4,11.0767,0.65012041,6949.592616,,12.50965,5.1,13.12144,10023.56017,,1.06,65.065503,0.694218889,69.48682,1.012659442,74.132,,20.16037,7.75414,,19.29824561,2.708,13.95402,34.42893982,42.67578125,78.04539,8.641,9.0135,Bosnia and Herzegovina,41.51047637,,1.116494838,90.15196,79.168,0.172,0.158345318,,,,,-1.102699,0.697002364,46.1071167,10090.77442,0.749833523,,14.84558
,3.892115,13.26,0.791257589,0.077,98.342,,4,0.252321,,66.72064209,58.07008636,261.2114966,,107991.1372,0.839215385,84.46213531,0.971538429,7.2173,,88.03165444,96.15905,,17.28649902,51,3.522761822,2.602326241,6.939924581,74.549,,0.778646693,,29.4879853,0.768737155,29.777,,8.6,0.030374,,35163.55984,,,7.3,,67112.99552,,1.04,82.079115,0.610512293,56.7822603,0.909600972,73.554,,,7.42590259,,1.538461538,2.947,12.35268,48.39211273,0.350729517,57.42617333,9.797,7.265368804,Kuwait,30.96258038,,0.772765829,231.763195,75.899,0.348,0.334961931,,,,,33.52767,1,69.15687561,76075.20735,0.800182932,,13.56855
,143.456918,14.95315,0.796449399,19.173,74.008,0.797850427,25,0.488562,0.677790231,59.79583359,94.73704603,3498.419717,,29528.35299,0.773292308,71.68369293,1.015805036,8.8402,50.1,54.46603022,99.72078,50.738,15.01997375,49,5.805064678,19.12623712,12.11108,70.264,9.805211969,0.704931721,,23.97163972,0.809037311,1.56,,9.6,0.518067,0.725083374,17870.18764,,2.228,8.2,9.5814,23895.341,,1.06,73.41,0.816031611,94.60661735,1.053295907,64.636,,17.676,11.95845,21.86492275,14.51612903,100.251,14.65749,56.63601685,49.76106545,94.63472975,23.432,12.01999,Russian Federation,38.70481368,,0.882271599,159.951486,75.916,9.166,0.270739015,,,,,3.17742,0.823320333,63.48093796,23286.08065,0.803908285,,15.26433
,7.594547,13.135925,0.775579557,0.287,83.679,0.58292361,58,3.39786,0.554423505,34.83442688,82.7441526,77.7656116,,16693.95111,0.833461538,64.36481476,0.863685657,11.855,,105.4771517,96.66592,97.8718,33.44943237,86,12.84935284,6.23823234,10.66281826,74.175,16.49062657,0.734654673,,58.53715424,0.669856939,6.508,,17.9,14.2555,0.619220761,3202.775406,,16.9017,15.4,16.41592667,10239.66428,,1.05,53.4,0.701486806,78.45,1.189716727,72.557,,20.49108,9.748,22.12994223,11.55555556,4.609,12.85395558,14.2380476,1.09822032,81.302,23.204,10.098,Jordan,22.50489745,,2.127606986,179.433012,75.932,0.98,0.477532239,,,,,-6.84302,0.697309818,39.9703598,10111.33377,0.741498511,,13.43973959
,0.07268,12.8,,,69.539,,,6.68616,,,,0.771415375,,,0.890061538,,,,,51.62575758,,80.7163,,96,,,,77.854,,,,,,,,21.2,4.37934,,,,,19.6,,10613.86042,,,67.6,0.617763135,,,,,,,12.32782369,21.875,,,,57.77333333,,,7.866227369,Dominica,,,,106.293341,,,,,,,,,0.697078277,,10095.84679,0.726397806,,
,4.503438,9.903696,0.466073886,0.137,49.701,0.241752789,725,35.121,0.224211563,58.4026947,39.702,3.543830556,,788.2933664,0.633661538,63.91866302,0.830167077,33.0962,,36.24477048,47.60013,112.392,4.92834425,177,4.151667595,5.50708842,6.02,61.188,33.40301313,0.423943648,,77.36562214,0.386919195,-0.945,,69.9,31.2119,0.284301539,575.1766643,,42.87091,52.8,32.89638333,786.916697,,1.05,5.903868,0.423169333,17.314,1.224159083,60.179,,22.72204,3.05,19.97077448,10.67961165,2.463,10.574022,57.95322418,43.38662791,28.296,108.838,4.442,Liberia,18.63287238,,0.981965221,81.093582,62.192,0.701,0.648710836,,,,1.1,,0.290136494,60.93240356,682.5904279,0.426898502,,9.261734
,0.363657,12.746,0.721429676,0.017,45.536,0.336546344,68,10.3052,0.538947157,59.94636917,30.87036097,4.865954129,,13591.60375,0.876292308,78.82854462,0.937475069,7.0994,,80.09191412,99.30682,200.734,27.94961548,105,11.79263687,6.931756902,6.3,76.959,24.60344364,0.814080812,,40.51688136,0.676322335,-0.03,,8.6,0.115932,0.528550142,7154.799246,,39.96557,7.4,23.40547667,11892.45882,,1.09,54.461955,0.560588889,34.30365511,0.933550611,76.019,,23.15146,6.159169978,,5.882352941,0.245,12.67494856,57.28917694,3.333333333,32.58700804,6.745,6.196,Maldives,26.3657264,,1.425538771,206.656219,77.987,0.037,0.312123444,,,,,-10.14991,0.70131086,67.96073151,10382.73306,0.7010269,,12.83375001
,188.924874,8.10691,0.60962214,8.487,38.758,0.219533236,178,0.362631,0.523307487,50.97936249,46.13319758,896.4199271,,8376.785441,0.713307692,82.24303436,0.741466856,32.8352,,48.82705551,58.68314,28.0524,10.70048428,147,5.431818485,7.425695341,6.4656,66.365,30.88329449,0.479091685,,57.86962282,0.452014612,-1.206,,81.1,7.15113,0.380386667,1496.936668,,44.39953,65.8,29.60637667,4744.848617,,1.09,18,0.394840611,26.47823093,1.116123588,65.436,,11.5844,3.66649,13.51761824,20.04504505,114.297,8.77561,24.31335449,1.909506019,35.42733,38.739,5.08946,Pakistan,22.45972992,,2.155938174,66.916623,67.365,24.664,0.54557338,,,,0.1,-0.6908149,0.591872347,53.90752411,5031.173074,0.550354165,,7.3844
,4.490541,13.74085,0.814458661,0.117,77.641,,17,1.16981,,64.76676178,57.13346,161.5820288,,43893.58318,0.876461538,85.62762451,0.927036036,7.0184,,64.20161939,94.75601,,19.25580025,52,6.336513996,3.356449472,8.5,76.97,,0.814947962,,26.68568895,0.755032528,65.158,,11.6,0.055529,,15703.41743,,,9.9,,35982.75325,,1.05,74.174166,0.651690278,59.77595852,1.216300152,75.332,,,7.726576654,,8.235294118,3.454,13.585,30.04502106,0.006462036,58.83352557,8.063,8.1,Oman,29.00242709,,2.77950661,159.860555,79.416,0.385,0.28140844,,,,,,0.882272389,69.14835358,34402.2755,0.795778615,,13.89642
,0.520502,13.49588,,0.024,65.526,0.436489368,42,4.61779,0.445940462,60.94312668,,3.277029284,,8122.516969,0.823661538,84.15345001,,13.446,,82.78258687,87.57656,,17.46682549,122,10.76328564,6.96497793,,73.538,20.14388754,0.712912008,,45.08320991,,-4.373,,24.5,12.3212,0.517720656,4029.588788,,18.239,20.7,19.90833333,6295.901426,,1.03,43.019626,0.533860114,,1.329799312,71.561,,28.04,,,20.83333333,0.343,13.09872,53.18429947,22.30769231,,73.406,4.769236768,Cabo Verde,24.4795929,,1.357364549,127.152258,75.24,0.054,,,,,1,-4.343841,0.619706033,68.2937851,6049.128513,0.648316879,,13.9108
,0.096471,14.14079,,0.007,53.887,,,7.36537,,,,2.384515771,,,0.820046154,,,9.0219,55.1,33.73999894,95.2136,,,63,,9.872502492,,73.303,,0.74606241,,33.64922564,,-3.273,,13.6,1.14315,,,,,11.7,,25667.55405,,1.06,58.118698,0.706133056,,,69.111,,,,33.72808848,43.75,0.068,13.49094,,89.38461538,,57.417,9.4,Seychelles,32.63357562,,,158.120187,78.24,0.008,,,,,,-15.9195,0.827163472,,23886.12252,0.782417812,,14.84412
,1.725292,12.56472105,0.725142757,0.088,87.156,0.472916622,291,4.35078,0.631089996,38.79362106,45.944,32.49052856,,22177.34363,0.691323077,57.53170776,0.923167081,27.6257,,16.92431712,83.17981,73.989,36.2567215,109,20.53826714,8.836935833,8.9854737,64.936,23.89665705,0.500340238,,64.26887964,0.669427922,0.612,,50.8,,0.530534668,15837.91519,,23.47992,36.1,23.83897333,18831.90124,,1.03,23.5,0.61802944,62.298,1.164158262,64.144,,20.4113,7.329587151,29.33861741,15.98173516,0.995,12.66114775,39.89201355,89.26145845,54.072,99.946,8.070282329,Gabon,21.40835775,,1.998715557,168.917525,65.674,0.239,0.54195481,,,,3.8,,0.792939193,48.82050323,19043.58718,0.697123999,,12.45597047
,0.037731,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,2.8,,,,,93.363302,,,,,,,,,20.83333333,,,,,,,,Monaco,,,,88.778706,,,,,,,,,,,,,,
,4.528526,19.2282,0.930472383,0.673,86.284,,11,-0.314695,,63.57430267,98.68931,159.7573426,,41717.09881,0.954246154,73.08279419,0.962777109,4.5828,50,,,,14.40014172,13,5.922319889,22.88793801,12.46,82.026,,0.910514961,,31.1203002,0.895837511,0.327,,5.7,0.242024,,24413.86386,,,4.7,,34762.35232,,1.05,88.222889,0.916766667,98.80332,1.023688578,80.268,,,12.5704634,,31.40495868,2.94,18.46121,62.4389534,38.55531503,98.74859,23.595,12.503,New Zealand,37.9898763,,1.274025587,121.834585,83.729,0.309,0.157796554,,,,,-0.2514154,0.875390299,67.57639313,32870.07836,0.914900056,,19.95996
